Time,R_Max
0.0,1.0
10.0,1.445
20.0,1.6608
30.0,1.8016
40.0,1.9086
50.0,1.9924
60.0,2.0617
70.0,2.1219
80.0,2.1737
90.0,2.2195
100.0,2.26
110.0,2.2974
120.0,2.3301
130.0,2.3613
140.0,2.3883
150.0,2.4151
160.0,2.4397
170.0,2.4634
180.0,2.4839
190.0,2.5035
200.0,2.5217
210.0,2.5391
220.0,2.557
230.0,2.5732
240.0,2.5882
250.0,2.6016
260.0,2.6154
270.0,2.6285
280.0,2.6408
290.0,2.6529
300.0,2.6644
310.0,2.6754
320.0,2.6864
330.0,2.6957
340.0,2.7057
350.0,2.7143
360.0,2.7236
370.0,2.7325
380.0,2.7412
390.0,2.748
400.0,2.7556
410.0,2.7626
420.0,2.7701
430.0,2.7771
440.0,2.7839
450.0,2.7905
460.0,2.7977
470.0,2.8038
480.0,2.8087
490.0,2.815
500.0,2.8204
510.0,2.826
520.0,2.8315
530.0,2.8369
540.0,2.8428
550.0,2.8474
560.0,2.8528
570.0,2.8579
580.0,2.8625
590.0,2.8674
600.0,2.8726
610.0,2.8776
620.0,2.8821
630.0,2.8861
640.0,2.8884
650.0,2.8921
660.0,2.8959
670.0,2.8991
680.0,2.9027
690.0,2.9062
700.0,2.9099
710.0,2.9126
720.0,2.9139
730.0,2.9155
740.0,2.918
750.0,2.92
760.0,2.9226
770.0,2.9263
780.0,2.9303
790.0,2.9332
800.0,2.9346
810.0,2.9378
820.0,2.9401
830.0,2.9414
840.0,2.9443
850.0,2.9474
860.0,2.9499
870.0,2.9526
880.0,2.9533
890.0,2.9561
900.0,2.9588
910.0,2.9615
920.0,2.9629
930.0,2.964
940.0,2.9664
950.0,2.9676
960.0,2.9701
970.0,2.9726
980.0,2.9747
990.0,2.9762
1000.0,2.978
1010.0,2.979
1020.0,2.9805
1030.0,2.9831
1040.0,2.9841
1050.0,2.9851
1060.0,2.9872
1070.0,2.9887
1080.0,2.9892
1090.0,2.9892
1100.0,2.9891
1110.0,2.9891
1120.0,2.9891
1130.0,2.9891
1140.0,2.9891
1150.0,2.9891
1160.0,2.9891
1170.0,2.9891
1180.0,2.9891
1190.0,2.9891
1200.0,2.9891
1210.0,2.9891
1220.0,2.9891
1230.0,2.9891
1240.0,2.9891
1250.0,2.9891
1260.0,2.9891
1270.0,2.9891
1280.0,2.9891
1290.0,2.9891
1300.0,2.9891
1310.0,2.9891
1320.0,2.9891
1330.0,2.9891
1340.0,2.9891
1350.0,2.9891
1360.0,2.9891
1370.0,2.9891
1380.0,2.9891
1390.0,2.9891
1400.0,2.9891
1410.0,2.9891
1420.0,2.9891
1430.0,2.9891
1440.0,2.9891
1450.0,2.9891
1460.0,2.9891
1470.0,2.9891
1480.0,2.9891
1490.0,2.9891
1500.0,2.9891
1510.0,2.9891
1520.0,2.9891
1530.0,2.9891
1540.0,2.9891
1550.0,2.9891
1560.0,2.9891
1570.0,2.9891
1580.0,2.9891
1590.0,2.9891
1600.0,2.9891
1610.0,2.9891
1620.0,2.9891
1630.0,2.9891
1640.0,2.9891
1650.0,2.9891
1660.0,2.9891
1670.0,2.9891
1680.0,2.9891
1690.0,2.9891
1700.0,2.9891
1710.0,2.9891
1720.0,2.9891
1730.0,2.9891
1740.0,2.9891
1750.0,2.9891
1760.0,2.9891
1770.0,2.9891
1780.0,2.9891
1790.0,2.9891
1800.0,2.9891
1810.0,2.9891
1820.0,2.9891
1830.0,2.9891
1840.0,2.9891
1850.0,2.9891
1860.0,2.9891
1870.0,2.9891
1880.0,2.9891
1890.0,2.9891
1900.0,2.9891
1910.0,2.9891
1920.0,2.9891
1930.0,2.9891
1940.0,2.9891
1950.0,2.9891
1960.0,2.9891
1970.0,2.9891
1980.0,2.9891
1990.0,2.9891
2000.0,2.9891
2010.0,2.9891
2020.0,2.9891
2030.0,2.9891
2040.0,2.9891
2050.0,2.9891
2060.0,2.9891
2070.0,2.9891
2080.0,2.9891
2090.0,2.9891
2100.0,2.9891
2110.0,2.9891
2120.0,2.9891
2130.0,2.9891
2140.0,2.9891
2150.0,2.9891
2160.0,2.9891
2170.0,2.9891
2180.0,2.9891
2190.0,2.9891
2200.0,2.9891
2210.0,2.9891
2220.0,2.9891
2230.0,2.9891
2240.0,2.9891
2250.0,2.9891
2260.0,2.9891
2270.0,2.9891
2280.0,2.9891
2290.0,2.9891
2300.0,2.9891
2310.0,2.9891
2320.0,2.9891
2330.0,2.9891
2340.0,2.9891
2350.0,2.9891
2360.0,2.9891
2370.0,2.9891
2380.0,2.9891
2390.0,2.9891
2400.0,2.9891
2410.0,2.9891
2420.0,2.9891
2430.0,2.9891
2440.0,2.9891
2450.0,2.9891
2460.0,2.9891
2470.0,2.9891
2480.0,2.9891
2490.0,2.9891
2500.0,2.9891
2510.0,2.9891
2520.0,2.9891
2530.0,2.9891
2540.0,2.9891
2550.0,2.9891
2560.0,2.9891
2570.0,2.9891
2580.0,2.9891
2590.0,2.9891
2600.0,2.9891
2610.0,2.9891
2620.0,2.9891
2630.0,2.9891
2640.0,2.9891
2650.0,2.9891
2660.0,2.9891
2670.0,2.9891
2680.0,2.9891
2690.0,2.9891
2700.0,2.9891
2710.0,2.9891
2720.0,2.9891
2730.0,2.9891
2740.0,2.9891
2750.0,2.9891
2760.0,2.9891
2770.0,2.9891
2780.0,2.9891
2790.0,2.9891
2800.0,2.9891
2810.0,2.9891
2820.0,2.9891
2830.0,2.9891
2840.0,2.9891
2850.0,2.9891
2860.0,2.9891
2870.0,2.9891
2880.0,2.9891
2890.0,2.9891
2900.0,2.9891
2910.0,2.9891
2920.0,2.9891
2930.0,2.9891
2940.0,2.9891
2950.0,2.9891
2960.0,2.9891
2970.0,2.9891
2980.0,2.9891
2990.0,2.9891
3000.0,2.9891
3010.0,2.9891
3020.0,2.9891
3030.0,2.9891
3040.0,2.9891
3050.0,2.9891
3060.0,2.9891
3070.0,2.9891
3080.0,2.9891
3090.0,2.9891
3100.0,2.9891
3110.0,2.9891
3120.0,2.9891
3130.0,2.9891
3140.0,2.9891
